node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
LRRC17	CCNB2	1852791	1847117	ENSP00000344242	ENSP00000288207	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.146	0.176
LRRC17	CDKN3	1852791	1851839	ENSP00000344242	ENSP00000335357	0.000	0.000	0.000	0.000	0.000	0.091	0.000	0.108	0.155
AURKB	LRRC17	1863844	1852791	ENSP00000463999	ENSP00000344242	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.140	0.237
CCNB2	UBE2S	1847117	1845564	ENSP00000288207	ENSP00000264552	0.000	0.000	0.000	0.000	0.090	0.110	0.000	0.366	0.442
CCT5	NME5	1846664	1845708	ENSP00000280326	ENSP00000265191	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.309	0.344
MAP3K5	CHAD	1853780	1844653	ENSP00000351908	ENSP00000258969	0.000	0.000	0.000	0.000	0.079	0.079	0.000	0.132	0.199
TTC30A	TTLL1	1853231	1845862	ENSP00000347915	ENSP00000266254	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.189	0.189
TUBA1B	FKTN	1851928	1842986	ENSP00000336799	ENSP00000223528	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.151
UBE2S	NDC80	1845564	1844946	ENSP00000264552	ENSP00000261597	0.000	0.000	0.000	0.000	0.113	0.097	0.000	0.090	0.207
NPAS3	ARNT2	1853301	1848961	ENSP00000348460	ENSP00000307479	0.000	0.000	0.000	0.624	0.000	0.530	0.000	0.349	0.586
GJA1	UBE2S	1846806	1845564	ENSP00000282561	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.192	0.192
RAB11FIP5	USF2	1844569	1842906	ENSP00000258098	ENSP00000222305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.476	0.476
TUBA1B	CCNB2	1851928	1847117	ENSP00000336799	ENSP00000288207	0.000	0.000	0.000	0.000	0.000	0.088	0.000	0.490	0.515
BTD	CCT5	1848848	1846664	ENSP00000306477	ENSP00000280326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.169	0.169
TTK	PTTG1	1855108	1852874	ENSP00000358813	ENSP00000344936	0.000	0.000	0.000	0.000	0.072	0.000	0.000	0.266	0.289
TPX2	UBE2S	1848175	1845564	ENSP00000300403	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.644	0.000	0.072	0.655
NPEPPS	CCT5	1850234	1846664	ENSP00000320324	ENSP00000280326	0.000	0.000	0.000	0.000	0.072	0.073	0.000	0.187	0.239
GJA1	FKTN	1846806	1842986	ENSP00000282561	ENSP00000223528	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.179	0.179
MKI67	PTTG1	1854841	1852874	ENSP00000357643	ENSP00000344936	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.216	0.216
TUBA1B	NDC80	1851928	1844946	ENSP00000336799	ENSP00000261597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	0.156
FOXM1	XBP1	1852579	1842534	ENSP00000342307	ENSP00000216037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.212	0.212
AURKB	FOXM1	1863844	1852579	ENSP00000463999	ENSP00000342307	0.000	0.000	0.000	0.000	0.109	0.000	0.900	0.575	0.958
ARNT2	USF2	1848961	1842906	ENSP00000307479	ENSP00000222305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.193	0.193
RAD1	MN1	1852379	1848690	ENSP00000340879	ENSP00000304956	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.183
TUBA1B	CCT6A	1851928	1846449	ENSP00000336799	ENSP00000275603	0.000	0.000	0.000	0.000	0.096	0.644	0.900	0.171	0.969
CARS	CCT5	1857239	1846664	ENSP00000369897	ENSP00000280326	0.000	0.000	0.000	0.000	0.113	0.000	0.000	0.312	0.363
TKT	CARS	1860530	1857239	ENSP00000405455	ENSP00000369897	0.000	0.000	0.000	0.000	0.111	0.000	0.000	0.107	0.172
CCNB2	USF2	1847117	1842906	ENSP00000288207	ENSP00000222305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.216	0.216
TKT	CCT5	1860530	1846664	ENSP00000405455	ENSP00000280326	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.384	0.403
AURKB	CHAD	1863844	1844653	ENSP00000463999	ENSP00000258969	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.083	0.186
PTTG1	NDC80	1852874	1844946	ENSP00000344936	ENSP00000261597	0.000	0.000	0.000	0.000	0.112	0.000	0.000	0.288	0.340
MAP3K5	UBE2S	1853780	1845564	ENSP00000351908	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.237	0.286
CDKN3	CCNB2	1851839	1847117	ENSP00000335357	ENSP00000288207	0.000	0.000	0.000	0.000	0.139	0.227	0.000	0.620	0.725
ATP6V0A2	NDC80	1851449	1844946	ENSP00000332247	ENSP00000261597	0.000	0.000	0.000	0.000	0.000	0.300	0.000	0.041	0.300
UBE2S	UBA2	1845564	1843822	ENSP00000264552	ENSP00000246548	0.000	0.000	0.000	0.000	0.000	0.251	0.000	0.462	0.579
MAP3K5	LRRC17	1853780	1852791	ENSP00000351908	ENSP00000344242	0.000	0.000	0.000	0.000	0.079	0.079	0.000	0.132	0.199
CCT6A	LANCL1	1846449	1843365	ENSP00000275603	ENSP00000233714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.192	0.192
AURKB	PATZ1	1863844	1845864	ENSP00000463999	ENSP00000266269	0.000	0.000	0.000	0.000	0.072	0.076	0.000	0.126	0.185
CCNB2	NDC80	1847117	1844946	ENSP00000288207	ENSP00000261597	0.000	0.000	0.000	0.000	0.288	0.000	0.000	0.303	0.482
TTK	TUBA1B	1855108	1851928	ENSP00000358813	ENSP00000336799	0.000	0.000	0.000	0.000	0.000	0.234	0.000	0.042	0.234
TTK	CDKN3	1855108	1851839	ENSP00000358813	ENSP00000335357	0.000	0.000	0.000	0.000	0.000	0.287	0.000	0.243	0.437
HNRNPAB	LRIG1	1853670	1846308	ENSP00000351108	ENSP00000273261	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.065	0.170
TFF3	XBP1	1861847	1842534	ENSP00000430690	ENSP00000216037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.344	0.343
CDKN3	UBE2S	1851839	1845564	ENSP00000335357	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.176	0.175
HNRNPAB	CCT5	1853670	1846664	ENSP00000351108	ENSP00000280326	0.000	0.000	0.000	0.000	0.231	0.186	0.000	0.149	0.421
NPEPPS	MARS	1850234	1845042	ENSP00000320324	ENSP00000262027	0.000	0.000	0.000	0.000	0.073	0.000	0.000	0.164	0.191
MAP3K5	CCNB2	1853780	1847117	ENSP00000351908	ENSP00000288207	0.000	0.000	0.000	0.000	0.000	0.126	0.000	0.116	0.194
PTTG1	CDKN3	1852874	1851839	ENSP00000344936	ENSP00000335357	0.000	0.000	0.000	0.000	0.088	0.000	0.000	0.300	0.334
CDKN3	NDC80	1851839	1844946	ENSP00000335357	ENSP00000261597	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.181	0.205
PTTG1	FOXM1	1852874	1852579	ENSP00000344936	ENSP00000342307	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.241	0.264
MKI67	CCNB2	1854841	1847117	ENSP00000357643	ENSP00000288207	0.000	0.000	0.000	0.000	0.257	0.000	0.000	0.324	0.476
MKI67	FOXM1	1854841	1852579	ENSP00000357643	ENSP00000342307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.195	0.195
PATZ1	CHAD	1845864	1844653	ENSP00000266269	ENSP00000258969	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.120	0.157
GPR171	LANCL1	1849075	1843365	ENSP00000308479	ENSP00000233714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.156	0.156
TTK	MKI67	1855108	1854841	ENSP00000358813	ENSP00000357643	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.212	0.212
TTK	CCNB2	1855108	1847117	ENSP00000358813	ENSP00000288207	0.000	0.000	0.000	0.000	0.161	0.196	0.000	0.287	0.477
FOXM1	PATZ1	1852579	1845864	ENSP00000342307	ENSP00000266269	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.213	0.267
LRRC17	UBE2S	1852791	1845564	ENSP00000344242	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.385
SRM	BTD	1856583	1848848	ENSP00000366156	ENSP00000306477	0.240	0.000	0.000	0.000	0.000	0.000	0.000	0.185	0.354
TTK	TPX2	1855108	1848175	ENSP00000358813	ENSP00000300403	0.000	0.000	0.000	0.000	0.131	0.000	0.000	0.264	0.333
TTC30A	NME5	1853231	1845708	ENSP00000347915	ENSP00000265191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.253	0.253
NPEPPS	CCT6A	1850234	1846449	ENSP00000320324	ENSP00000275603	0.000	0.000	0.000	0.000	0.121	0.149	0.000	0.000	0.219
AURKB	CCNB2	1863844	1847117	ENSP00000463999	ENSP00000288207	0.000	0.000	0.000	0.000	0.460	0.217	0.000	0.854	0.933
TUBA1B	UBE2S	1851928	1845564	ENSP00000336799	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.328	0.328
FOXM1	NDC80	1852579	1844946	ENSP00000342307	ENSP00000261597	0.000	0.000	0.000	0.000	0.238	0.000	0.000	0.198	0.362
TPX2	CCNB2	1848175	1847117	ENSP00000300403	ENSP00000288207	0.000	0.000	0.000	0.000	0.167	0.000	0.000	0.357	0.441
CDKN3	PATZ1	1851839	1845864	ENSP00000335357	ENSP00000266269	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.127	0.179
PTTG1	UBE2S	1852874	1845564	ENSP00000344936	ENSP00000264552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.341
TPX2	NDC80	1848175	1844946	ENSP00000300403	ENSP00000261597	0.000	0.000	0.000	0.000	0.180	0.000	0.000	0.191	0.308
PTTG1	CCNB2	1852874	1847117	ENSP00000344936	ENSP00000288207	0.000	0.000	0.000	0.000	0.218	0.000	0.000	0.418	0.525
TUBA1B	GJA1	1851928	1846806	ENSP00000336799	ENSP00000282561	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.106	0.813
TTK	FOXM1	1855108	1852579	ENSP00000358813	ENSP00000342307	0.000	0.000	0.000	0.000	0.148	0.000	0.000	0.212	0.299
